"type","id","subjectId","date","duration","room","reasonsString","category","score","reasonsList","timestamp"
"feeback","","Aspectos Éticos y Sociales","2022-06-10 04:00:00+00:00",2,"3104","Con hambre o sed","Estado físico",2,"['Con hambre o sed']",1654833600.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 04:00:00+00:00",2,"3104","Motivado/a","Estado anímico",3,"['Motivado/a']",1654833600.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 04:00:00+00:00",2,"3104","Muy práctico","Temario",3,"['Muy práctico']",1654833600.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 04:00:00+00:00",2,"3104","Explicaciones entretenidas","Docente",3,"['Explicaciones entretenidas']",1654833600.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 04:00:00+00:00",2,"3104","Temperatura perfecta","Ambiente",4,"['Temperatura perfecta']",1654833600.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 00:00:00+00:00",2,"3203","Enérgico/a","Estado físico",3,"['Enérgico/a']",1654819200.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 00:00:00+00:00",2,"3203","Contento/a","Estado anímico",4,"['Contento/a']",1654819200.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 00:00:00+00:00",2,"3203","Temario bien estructurado","Temario",3,"['Temario bien estructurado']",1654819200.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 00:00:00+00:00",2,"3203","Poco dinamismo","Docente",1,"['Poco dinamismo']",1654819200.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 00:00:00+00:00",2,"3203","Demasiado calor","Ambiente",1,"['Demasiado calor']",1654819200.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"1001","Con dolor de cuello","Estado físico",2,"['Con dolor de cuello']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"1001","Agobiado/a","Estado anímico",1,"['Agobiado/a']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"1001","Temario bien estructurado","Temario",4,"['Temario bien estructurado']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"1001","Creatividad","Docente",5,"['Creatividad']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"1001","Sin ruido","Ambiente",3,"['Sin ruido']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"CIC-4","Normal","Estado físico",5,"['Normal']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"CIC-4","Motivado/a","Estado anímico",4,"['Motivado/a']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"CIC-4","Poco práctico","Temario",1,"['Poco práctico']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"CIC-4","Dinamismo","Docente",4,"['Dinamismo']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 12:00:00+00:00",2,"CIC-4","Ambiente denso","Ambiente",3,"['Ambiente denso']",1654862400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"1001","Con dolor de cuello","Estado físico",3,"['Con dolor de cuello']",1654826400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"1001","Estresado/a","Estado anímico",2,"['Estresado/a']",1654826400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"1001","Material adecuado","Temario",5,"['Material adecuado']",1654826400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"1001","Buena actitud","Docente",5,"['Buena actitud']",1654826400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"1001","Poca luz","Ambiente",3,"['Poca luz']",1654826400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"3104","Enfermo/a","Estado físico",2,"['Enfermo/a']",1654826400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"3104","Motivado/a","Estado anímico",5,"['Motivado/a']",1654826400.0
"feeback","","Aspectos Éticos y Sociales","2022-06-10 02:00:00+00:00",2,"3104","Material limitado","Temario",2,"['Material limitado']",1654826400.0
