"","type","id","subjectId","date","duration","room","reasonsString","category","score","reasonsList","timestamp"
0,"feeback","-1005108587542580359","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Con dolor de espalda","Mi estado físico ha sido bueno",1,"['Con dolor de espalda']",1652140501.346539
1,"feeback","-1005108587542580359","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Eufórico/a","Mi estado anímico ha sido bueno",3,"['Eufórico/a']",1652140501.346539
2,"feeback","-1005108587542580359","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Material adecuado","El temario impartido ha sido bueno",4,"['Material adecuado']",1652140501.346539
3,"feeback","-1005108587542580359","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Dinamismo","La mayor del docente ha sido buena",5,"['Dinamismo']",1652140501.346539
4,"feeback","-1005108587542580359","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Ambiente denso","El ambiente ha sido bueno",1,"['Ambiente denso']",1652140501.346539
5,"feeback","-1006645134290769165","Fundamentos de Economía y Empresa","2022-05-10 23:55:32.130275+00:00",2,"3301","Enérgico/a","Mi estado físico ha sido bueno",5,"['Enérgico/a']",1652226932.130275
6,"feeback","-1006645134290769165","Fundamentos de Economía y Empresa","2022-05-10 23:55:32.130275+00:00",2,"3301","Con ansiedad","Mi estado anímico ha sido bueno",3,"['Con ansiedad']",1652226932.130275
7,"feeback","-1006645134290769165","Fundamentos de Economía y Empresa","2022-05-10 23:55:32.130275+00:00",2,"3301","Material limitado","El temario impartido ha sido bueno",1,"['Material limitado']",1652226932.130275
8,"feeback","-1006645134290769165","Fundamentos de Economía y Empresa","2022-05-10 23:55:32.130275+00:00",2,"3301","Paciencia","La mayor del docente ha sido buena",4,"['Paciencia']",1652226932.130275
9,"feeback","-1006645134290769165","Fundamentos de Economía y Empresa","2022-05-10 23:55:32.130275+00:00",2,"3301","Temperatura perfecta","El ambiente ha sido bueno",3,"['Temperatura perfecta']",1652226932.130275
10,"feeback","-1041775427938595831","Sistemas de Tiempo Real","2022-04-27 01:05:16.810451+00:00",2,"1001","Agotado/a","Mi estado físico ha sido bueno",3,"['Agotado/a']",1651021516.810451
11,"feeback","-1041775427938595831","Sistemas de Tiempo Real","2022-04-27 01:05:16.810451+00:00",2,"1001","Aburrido/a","Mi estado anímico ha sido bueno",2,"['Aburrido/a']",1651021516.810451
12,"feeback","-1041775427938595831","Sistemas de Tiempo Real","2022-04-27 01:05:16.810451+00:00",2,"1001","Poco práctico","El temario impartido ha sido bueno",2,"['Poco práctico']",1651021516.810451
13,"feeback","-1041775427938595831","Sistemas de Tiempo Real","2022-04-27 01:05:16.810451+00:00",2,"1001","Poca creatividad","La mayor del docente ha sido buena",2,"['Poca creatividad']",1651021516.810451
14,"feeback","-1041775427938595831","Sistemas de Tiempo Real","2022-04-27 01:05:16.810451+00:00",2,"1001","Sin ruido","El ambiente ha sido bueno",3,"['Sin ruido']",1651021516.810451
15,"feeback","-1044826835710116949","Sistemas Basados en Computador","2022-04-27 23:55:14.923493+00:00",2,"CIC-3","Enérgico/a","Mi estado físico ha sido bueno",5,"['Enérgico/a']",1651103714.923493
16,"feeback","-1044826835710116949","Sistemas Basados en Computador","2022-04-27 23:55:14.923493+00:00",2,"CIC-3","Cansado/a","Mi estado anímico ha sido bueno",2,"['Cansado/a']",1651103714.923493
17,"feeback","-1044826835710116949","Sistemas Basados en Computador","2022-04-27 23:55:14.923493+00:00",2,"CIC-3","Interesante","El temario impartido ha sido bueno",3,"['Interesante']",1651103714.923493
18,"feeback","-1044826835710116949","Sistemas Basados en Computador","2022-04-27 23:55:14.923493+00:00",2,"CIC-3","Poca cooperación","La mayor del docente ha sido buena",1,"['Poca cooperación']",1651103714.923493
19,"feeback","-1044826835710116949","Sistemas Basados en Computador","2022-04-27 23:55:14.923493+00:00",2,"CIC-3","Sin ruido","El ambiente ha sido bueno",5,"['Sin ruido']",1651103714.923493
20,"feeback","-1051217606841682996","Programación de Hardware Reconfigurable","2021-09-01 17:42:02.754346+00:00",2,"CIC-4","Con hambre o sed","Mi estado físico ha sido bueno",1,"['Con hambre o sed']",1630518122.754346
21,"feeback","-1051217606841682996","Programación de Hardware Reconfigurable","2021-09-01 17:42:02.754346+00:00",2,"CIC-4","Estresado/a","Mi estado anímico ha sido bueno",2,"['Estresado/a']",1630518122.754346
22,"feeback","-1051217606841682996","Programación de Hardware Reconfigurable","2021-09-01 17:42:02.754346+00:00",2,"CIC-4","Material limitado","El temario impartido ha sido bueno",2,"['Material limitado']",1630518122.754346
23,"feeback","-1051217606841682996","Programación de Hardware Reconfigurable","2021-09-01 17:42:02.754346+00:00",2,"CIC-4","Poco dinamismo","La mayor del docente ha sido buena",1,"['Poco dinamismo']",1630518122.754346
24,"feeback","-1051217606841682996","Programación de Hardware Reconfigurable","2021-09-01 17:42:02.754346+00:00",2,"CIC-4","Demasiado ruido","El ambiente ha sido bueno",2,"['Demasiado ruido']",1630518122.754346
25,"feeback","-1058721036446880593","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"3302","Con hambre o sed","Mi estado físico ha sido bueno",1,"['Con hambre o sed']",1650844509.461058
26,"feeback","-1058721036446880593","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"3302","Eufórico/a","Mi estado anímico ha sido bueno",5,"['Eufórico/a']",1650844509.461058
27,"feeback","-1058721036446880593","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"3302","Interesante","El temario impartido ha sido bueno",5,"['Interesante']",1650844509.461058
28,"feeback","-1058721036446880593","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"3302","Poca cooperación","La mayor del docente ha sido buena",2,"['Poca cooperación']",1650844509.461058
29,"feeback","-1058721036446880593","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"3302","Poca luz","El ambiente ha sido bueno",2,"['Poca luz']",1650844509.461058
30,"feeback","-1060740622561695357","Programación Concurrente y Avanzada","2022-04-27 23:55:14.923493+00:00",2,"1001","Con dolor de cabeza","Mi estado físico ha sido bueno",1,"['Con dolor de cabeza']",1651103714.923493
31,"feeback","-1060740622561695357","Programación Concurrente y Avanzada","2022-04-27 23:55:14.923493+00:00",2,"1001","Cansado/a","Mi estado anímico ha sido bueno",2,"['Cansado/a']",1651103714.923493
32,"feeback","-1060740622561695357","Programación Concurrente y Avanzada","2022-04-27 23:55:14.923493+00:00",2,"1001","Poco práctico","El temario impartido ha sido bueno",1,"['Poco práctico']",1651103714.923493
33,"feeback","-1060740622561695357","Programación Concurrente y Avanzada","2022-04-27 23:55:14.923493+00:00",2,"1001","Creatividad","La mayor del docente ha sido buena",4,"['Creatividad']",1651103714.923493
34,"feeback","-1060740622561695357","Programación Concurrente y Avanzada","2022-04-27 23:55:14.923493+00:00",2,"1001","Demasiado calor","El ambiente ha sido bueno",3,"['Demasiado calor']",1651103714.923493
35,"feeback","-1061069722090218776","Seguridad de Sistemas y Redes","2022-05-10 23:55:00.862933+00:00",2,"CIC-4","Normal","Mi estado físico ha sido bueno",5,"['Normal']",1652226900.862933
36,"feeback","-1061069722090218776","Seguridad de Sistemas y Redes","2022-05-10 23:55:00.862933+00:00",2,"CIC-4","Motivado/a","Mi estado anímico ha sido bueno",4,"['Motivado/a']",1652226900.862933
37,"feeback","-1061069722090218776","Seguridad de Sistemas y Redes","2022-05-10 23:55:00.862933+00:00",2,"CIC-4","Interesante","El temario impartido ha sido bueno",5,"['Interesante']",1652226900.862933
38,"feeback","-1061069722090218776","Seguridad de Sistemas y Redes","2022-05-10 23:55:00.862933+00:00",2,"CIC-4","Poca paciencia","La mayor del docente ha sido buena",1,"['Poca paciencia']",1652226900.862933
39,"feeback","-1061069722090218776","Seguridad de Sistemas y Redes","2022-05-10 23:55:00.862933+00:00",2,"CIC-4","Iluminación correcta","El ambiente ha sido bueno",4,"['Iluminación correcta']",1652226900.862933
40,"feeback","-1099397421635543234","Aspectos Éticos y Sociales","2022-05-03 23:54:44.252665+00:00",2,"3203","Con dolor de espalda","Mi estado físico ha sido bueno",3,"['Con dolor de espalda']",1651622084.252665
41,"feeback","-1099397421635543234","Aspectos Éticos y Sociales","2022-05-03 23:54:44.252665+00:00",2,"3203","Triste","Mi estado anímico ha sido bueno",2,"['Triste']",1651622084.252665
42,"feeback","-1099397421635543234","Aspectos Éticos y Sociales","2022-05-03 23:54:44.252665+00:00",2,"3203","Muy práctico","El temario impartido ha sido bueno",4,"['Muy práctico']",1651622084.252665
43,"feeback","-1099397421635543234","Aspectos Éticos y Sociales","2022-05-03 23:54:44.252665+00:00",2,"3203","Explicaciones aburridas","La mayor del docente ha sido buena",2,"['Explicaciones aburridas']",1651622084.252665
44,"feeback","-1099397421635543234","Aspectos Éticos y Sociales","2022-05-03 23:54:44.252665+00:00",2,"3203","Ambiente denso","El ambiente ha sido bueno",1,"['Ambiente denso']",1651622084.252665
45,"feeback","-1102503771428072668","Seguridad de Sistemas y Redes","2022-05-05 23:55:35.826950+00:00",2,"3302","Con dolor de cabeza","Mi estado físico ha sido bueno",1,"['Con dolor de cabeza']",1651794935.82695
46,"feeback","-1102503771428072668","Seguridad de Sistemas y Redes","2022-05-05 23:55:35.826950+00:00",2,"3302","Con ansiedad","Mi estado anímico ha sido bueno",1,"['Con ansiedad']",1651794935.82695
47,"feeback","-1102503771428072668","Seguridad de Sistemas y Redes","2022-05-05 23:55:35.826950+00:00",2,"3302","Muy práctico","El temario impartido ha sido bueno",5,"['Muy práctico']",1651794935.82695
48,"feeback","-1102503771428072668","Seguridad de Sistemas y Redes","2022-05-05 23:55:35.826950+00:00",2,"3302","Explicaciones entretenidas","La mayor del docente ha sido buena",5,"['Explicaciones entretenidas']",1651794935.82695
