,subjectId,duration,room,date,reasonsString,score,reasonsList,category,measure
0,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Con dolor de cuello,2,['Con dolor de cuello'],Estado físico,
0,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Eufórico/a,3,['Eufórico/a'],Estado anímico,
0,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Poco práctico,2,['Poco práctico'],Temario,
0,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Paciencia,5,['Paciencia'],Docente,
0,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Poca luz,1,['Poca luz'],Ambiente,luminosity
1,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
1,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Con ansiedad,1,['Con ansiedad'],Estado anímico,
1,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Muy práctico,5,['Muy práctico'],Temario,
1,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Explicaciones entretenidas,4,['Explicaciones entretenidas'],Docente,
1,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Demasiado frío,3,['Demasiado frío'],Ambiente,temperature
2,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Enfermo/a,3,['Enfermo/a'],Estado físico,
2,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Triste,3,['Triste'],Estado anímico,
2,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Temario bien estructurado,5,['Temario bien estructurado'],Temario,
2,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Explicaciones entretenidas,3,['Explicaciones entretenidas'],Docente,
2,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
3,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con dolor de espalda,3,['Con dolor de espalda'],Estado físico,
3,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con ansiedad,2,['Con ansiedad'],Estado anímico,
3,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poco práctico,1,['Poco práctico'],Temario,
3,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poco dinamismo,3,['Poco dinamismo'],Docente,
3,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Ambiente agradable,4,['Ambiente agradable'],Ambiente,co2
4,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con hambre o sed,1,['Con hambre o sed'],Estado físico,
4,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Triste,2,['Triste'],Estado anímico,
4,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poco práctico,1,['Poco práctico'],Temario,
4,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Explicaciones aburridas,2,['Explicaciones aburridas'],Docente,
4,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Demasiado ruido,2,['Demasiado ruido'],Ambiente,noise
5,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Enérgico/a,3,['Enérgico/a'],Estado físico,
5,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Aburrido/a,3,['Aburrido/a'],Estado anímico,
5,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Muy práctico,4,['Muy práctico'],Temario,
5,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Paciencia,5,['Paciencia'],Docente,
5,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Poca luz,2,['Poca luz'],Ambiente,luminosity
6,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
6,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Agobiado/a,2,['Agobiado/a'],Estado anímico,
6,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Temario denso,2,['Temario denso'],Temario,
6,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Buena organización,5,['Buena organización'],Docente,
6,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Ambiente denso,1,['Ambiente denso'],Ambiente,co2
